"away","home","date","as","hs","season","hsym","asym","guid","lk"
"Boston Celtics","Miami Heat",2012-10-30,107,120,2013,"MIA","BOS","MIABOS20121030","201210300MIA"
"Dallas Mavericks","Los Angeles Lakers",2012-10-30,99,91,2013,"LAL","DAL","LALDAL20121030","201210300LAL"
"Washington Wizards","Cleveland Cavaliers",2012-10-30,84,94,2013,"CLE","WAS","CLEWAS20121030","201210300CLE"
"Dallas Mavericks","Utah Jazz",2012-10-31,94,113,2013,"UTA","DAL","UTADAL20121031","201210310UTA"
"Denver Nuggets","Philadelphia 76ers",2012-10-31,75,84,2013,"PHI","DEN","PHIDEN20121031","201210310PHI"
"Golden State Warriors","Phoenix Suns",2012-10-31,87,85,2013,"PHO","GSW","PHOGSW20121031","201210310PHO"
"Houston Rockets","Detroit Pistons",2012-10-31,105,96,2013,"DET","HOU","DETHOU20121031","201210310DET"
"Indiana Pacers","Toronto Raptors",2012-10-31,90,88,2013,"TOR","IND","TORIND20121031","201210310TOR"
"Los Angeles Lakers","Portland Trail Blazers",2012-10-31,106,116,2013,"POR","LAL","PORLAL20121031","201210310POR"
"Memphis Grizzlies","Los Angeles Clippers",2012-10-31,92,101,2013,"LAC","MEM","LACMEM20121031","201210310LAC"
"Sacramento Kings","Chicago Bulls",2012-10-31,87,93,2013,"CHI","SAC","CHISAC20121031","201210310CHI"
"San Antonio Spurs","New Orleans Hornets",2012-10-31,99,95,2013,"NOH","SAS","NOHSAS20121031","201210310NOH"
"Oklahoma City Thunder","San Antonio Spurs",2012-11-01,84,86,2013,"SAS","OKC","SASOKC20121101","201211010SAS"
"Chicago Bulls","Cleveland Cavaliers",2012-11-02,115,86,2013,"CLE","CHI","CLECHI20121102","201211020CLE"
"Denver Nuggets","Orlando Magic",2012-11-02,89,102,2013,"ORL","DEN","ORLDEN20121102","201211020ORL"
"Detroit Pistons","Phoenix Suns",2012-11-02,89,92,2013,"PHO","DET","PHODET20121102","201211020PHO"
"Houston Rockets","Atlanta Hawks",2012-11-02,109,102,2013,"ATL","HOU","ATLHOU20121102","201211020ATL"
"Indiana Pacers","Charlotte Bobcats",2012-11-02,89,90,2013,"CHA","IND","CHAIND20121102","201211020CHA"
"Los Angeles Clippers","Los Angeles Lakers",2012-11-02,105,95,2013,"LAL","LAC","LALLAC20121102","201211020LAL"
"Memphis Grizzlies","Golden State Warriors",2012-11-02,104,94,2013,"GSW","MEM","GSWMEM20121102","201211020GSW"
"Miami Heat","New York Knicks",2012-11-02,84,104,2013,"NYK","MIA","NYKMIA20121102","201211020NYK"
"Milwaukee Bucks","Boston Celtics",2012-11-02,99,88,2013,"BOS","MIL","BOSMIL20121102","201211020BOS"
"Portland Trail Blazers","Oklahoma City Thunder",2012-11-02,92,106,2013,"OKC","POR","OKCPOR20121102","201211020OKC"
"Sacramento Kings","Minnesota Timberwolves",2012-11-02,80,92,2013,"MIN","SAC","MINSAC20121102","201211020MIN"
"Utah Jazz","New Orleans Hornets",2012-11-02,86,88,2013,"NOH","UTA","NOHUTA20121102","201211020NOH"
"Boston Celtics","Washington Wizards",2012-11-03,89,86,2013,"WAS","BOS","WASBOS20121103","201211030WAS"
"Charlotte Bobcats","Dallas Mavericks",2012-11-03,99,126,2013,"DAL","CHA","DALCHA20121103","201211030DAL"
"Cleveland Cavaliers","Milwaukee Bucks",2012-11-03,102,105,2013,"MIL","CLE","MILCLE20121103","201211030MIL"
"Denver Nuggets","Miami Heat",2012-11-03,116,119,2013,"MIA","DEN","MIADEN20121103","201211030MIA"
"Golden State Warriors","Los Angeles Clippers",2012-11-03,114,110,2013,"LAC","GSW","LACGSW20121103","201211030LAC"
"New Orleans Hornets","Chicago Bulls",2012-11-03,89,82,2013,"CHI","NOH","CHINOH20121103","201211030CHI"
"Portland Trail Blazers","Houston Rockets",2012-11-03,95,85,2013,"HOU","POR","HOUPOR20121103","201211030HOU"
"Sacramento Kings","Indiana Pacers",2012-11-03,98,106,2013,"IND","SAC","INDSAC20121103","201211030IND"
"Toronto Raptors","Brooklyn Nets",2012-11-03,100,107,2013,"BRK","TOR","BRKTOR20121103","201211030BRK"
"Utah Jazz","San Antonio Spurs",2012-11-03,100,110,2013,"SAS","UTA","SASUTA20121103","201211030SAS"
"Atlanta Hawks","Oklahoma City Thunder",2012-11-04,104,95,2013,"OKC","ATL","OKCATL20121104","201211040OKC"
"Detroit Pistons","Los Angeles Lakers",2012-11-04,79,108,2013,"LAL","DET","LALDET20121104","201211040LAL"
"Minnesota Timberwolves","Toronto Raptors",2012-11-04,86,105,2013,"TOR","MIN","TORMIN20121104","201211040TOR"
"Philadelphia 76ers","New York Knicks",2012-11-04,84,100,2013,"NYK","PHI","NYKPHI20121104","201211040NYK"
"Phoenix Suns","Orlando Magic",2012-11-04,94,115,2013,"ORL","PHO","ORLPHO20121104","201211040ORL"
"Cleveland Cavaliers","Los Angeles Clippers",2012-11-05,108,101,2013,"LAC","CLE","LACCLE20121105","201211050LAC"
"Golden State Warriors","Sacramento Kings",2012-11-05,92,94,2013,"SAC","GSW","SACGSW20121105","201211050SAC"
"Indiana Pacers","San Antonio Spurs",2012-11-05,79,101,2013,"SAS","IND","SASIND20121105","201211050SAS"
"Minnesota Timberwolves","Brooklyn Nets",2012-11-05,107,96,2013,"BRK","MIN","BRKMIN20121105","201211050BRK"
"New York Knicks","Philadelphia 76ers",2012-11-05,110,88,2013,"PHI","NYK","PHINYK20121105","201211050PHI"
"Phoenix Suns","Miami Heat",2012-11-05,99,124,2013,"MIA","PHO","MIAPHO20121105","201211050MIA"
"Portland Trail Blazers","Dallas Mavericks",2012-11-05,91,114,2013,"DAL","POR","DALPOR20121105","201211050DAL"
"Utah Jazz","Memphis Grizzlies",2012-11-05,94,103,2013,"MEM","UTA","MEMUTA20121105","201211050MEM"
"Detroit Pistons","Denver Nuggets",2012-11-06,97,109,2013,"DEN","DET","DENDET20121106","201211060DEN"
"Orlando Magic","Chicago Bulls",2012-11-06,93,99,2013,"CHI","ORL","CHIORL20121106","201211060CHI"
"Toronto Raptors","Oklahoma City Thunder",2012-11-06,88,108,2013,"OKC","TOR","OKCTOR20121106","201211060OKC"
"Brooklyn Nets","Miami Heat",2012-11-07,73,103,2013,"MIA","BRK","MIABRK20121107","201211070MIA"
"Cleveland Cavaliers","Golden State Warriors",2012-11-07,96,106,2013,"GSW","CLE","GSWCLE20121107","201211070GSW"
"Denver Nuggets","Houston Rockets",2012-11-07,93,87,2013,"HOU","DEN","HOUDEN20121107","201211070HOU"
"Detroit Pistons","Sacramento Kings",2012-11-07,103,105,2013,"SAC","DET","SACDET20121107","201211070SAC"
"Indiana Pacers","Atlanta Hawks",2012-11-07,86,89,2013,"ATL","IND","ATLIND20121107","201211070ATL"
"Los Angeles Lakers","Utah Jazz",2012-11-07,86,95,2013,"UTA","LAL","UTALAL20121107","201211070UTA"
"Memphis Grizzlies","Milwaukee Bucks",2012-11-07,108,90,2013,"MIL","MEM","MILMEM20121107","201211070MIL"
"Orlando Magic","Minnesota Timberwolves",2012-11-07,75,90,2013,"MIN","ORL","MINORL20121107","201211070MIN"
"Philadelphia 76ers","New Orleans Hornets",2012-11-07,77,62,2013,"NOH","PHI","NOHPHI20121107","201211070NOH"
"Phoenix Suns","Charlotte Bobcats",2012-11-07,117,110,2013,"CHA","PHO","CHAPHO20121107","201211070CHA"
"San Antonio Spurs","Los Angeles Clippers",2012-11-07,84,106,2013,"LAC","SAS","LACSAS20121107","201211070LAC"
"Toronto Raptors","Dallas Mavericks",2012-11-07,104,109,2013,"DAL","TOR","DALTOR20121107","201211070DAL"
"Washington Wizards","Boston Celtics",2012-11-07,94,100,2013,"BOS","WAS","BOSWAS20121107","201211070BOS"
"Los Angeles Clippers","Portland Trail Blazers",2012-11-08,103,90,2013,"POR","LAC","PORLAC20121108","201211080POR"
"Oklahoma City Thunder","Chicago Bulls",2012-11-08,97,91,2013,"CHI","OKC","CHIOKC20121108","201211080CHI"
"Brooklyn Nets","Orlando Magic",2012-11-09,107,68,2013,"ORL","BRK","ORLBRK20121109","201211090ORL"
"Charlotte Bobcats","New Orleans Hornets",2012-11-09,99,107,2013,"NOH","CHA","NOHCHA20121109","201211090NOH"
"Cleveland Cavaliers","Phoenix Suns",2012-11-09,105,107,2013,"PHO","CLE","PHOCLE20121109","201211090PHO"
"Dallas Mavericks","New York Knicks",2012-11-09,94,104,2013,"NYK","DAL","NYKDAL20121109","201211090NYK"
"Detroit Pistons","Oklahoma City Thunder",2012-11-09,94,105,2013,"OKC","DET","OKCDET20121109","201211090OKC"
"Golden State Warriors","Los Angeles Lakers",2012-11-09,77,101,2013,"LAL","GSW","LALGSW20121109","201211090LAL"
"Houston Rockets","Memphis Grizzlies",2012-11-09,85,93,2013,"MEM","HOU","MEMHOU20121109","201211090MEM"
"Indiana Pacers","Minnesota Timberwolves",2012-11-09,94,96,2013,"MIN","IND","MININD20121109","201211090MIN"
"Miami Heat","Atlanta Hawks",2012-11-09,95,89,2013,"ATL","MIA","ATLMIA20121109","201211090ATL"
"Milwaukee Bucks","Washington Wizards",2012-11-09,101,91,2013,"WAS","MIL","WASMIL20121109","201211090WAS"
"Philadelphia 76ers","Boston Celtics",2012-11-09,106,100,2013,"BOS","PHI","BOSPHI20121109","201211090BOS"
"San Antonio Spurs","Sacramento Kings",2012-11-09,97,86,2013,"SAC","SAS","SACSAS20121109","201211090SAC"
"Utah Jazz","Denver Nuggets",2012-11-09,84,104,2013,"DEN","UTA","DENUTA20121109","201211090DEN"
"Boston Celtics","Milwaukee Bucks",2012-11-10,96,92,2013,"MIL","BOS","MILBOS20121110","201211100MIL"
